name,sowinstructions,spaceinstructions,harvestinstructions,compatibleplants,Detailed Ideal Growing Conditions,Weather Conditions,Sunshine,Weather,Soil Conditions
Brussels sprouts,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45째F and 86째F. (Show 째C/cm)",Space plants: 18 - 24 inches apart,Harvest in 14-28 weeks. Pick sprouts when small. .,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during sprout formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun, well-drained soil",full sun,cool weather,well-drained soil
Burdock,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 68째F. (Show 째C/cm),Space plants: 24 inches apart,Harvest in 17-18 weeks.,Compatible with (can grow beside): Best grown in separate bed.,"Full sun to partial shade, moist soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to stay moist. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, partial shade to full sun, well-drained soil",full sun,cool weather,well-drained soil
Cabbage,"Easy to grow. Grow in seed trays, and plant out in 4 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 41째F and 64째F. (Show 째C/cm)",Space plants: 20 - 30 inches apart,Harvest in 11-15 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, thyme)","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during head formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Cape Gooseberry,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: 20 inches apart,Harvest in 14-16 weeks.,Compatible with (can grow beside): Will happily grow in a flower border,"Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Capsicum,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64째F and 95째F. (Show 째C/cm)",Space plants: 8 - 20 inches apart,Harvest in 10-12 weeks. Cut fruit off with sharp knife.,"Compatible with (can grow beside): Egg plant (Aubergine), Nasturtiums, Basil, Parsley, Amaranth","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Cardoon,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 55째F and 77째F. (Show 째C/cm)",Space plants: 20 - 59 inches apart,Harvest in 34-35 weeks.,Compatible with (can grow beside): Best grown in separate bed.,"Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during leafing. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun, well-drained soil",full sun,cool weather,well-drained soil
Carrot,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46째F and 86째F. (Show 째C/cm),Space plants: 2 - 12 inches apart,Harvest in 12-18 weeks.,"Compatible with (can grow beside): Onions, Leeks, Lettuce, Sage, Peas, Radishes, Tomatoes, Beans, Celery, Rosemary","Full sun, well-drained soil, sandy soil is ideal. Prefers a pH of 6.5-7.5. Water","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,sandy-soil
Cauliflower,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 86째F. (Show 째C/cm)",Space plants: 24 - 39 inches apart,Harvest in 15-22 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during head formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Celeriac,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46째F and 70째F. (Show 째C/cm)",Space plants: 18 - 31 inches apart,Harvest in 14-28 weeks.,"Compatible with (can grow beside): Beans, brassicas, carrots, leeks, lettuce, peas, sage, tomatoes, onions","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during bulbing. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Celery,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 54째F and 70째F. (Show 째C/cm)",Space plants: 6 - 12 inches apart,Harvest in 17-18 weeks.,Compatible with (can grow beside): Not applicable as celery needs to be close together to encourage blanching.,"Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during bulking. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Chicory,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 68째F. (Show 째C/cm),Space plants: 10 - 12 inches apart,Harvest in 16-24 weeks. Will need forcing before final harvest.,"Compatible with (can grow beside): Carrots, onions, Florence fennel, tomatoes.","Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Chilli peppers,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64째F and 95째F. (Show 째C/cm)",Space plants: 16 - 20 inches apart,Harvest in 9-11 weeks. Wear gloves to pick 'hot' chilies.,Compatible with (can grow beside): Best grown in a separate bed as chillis need plenty of light and air circulation.,"Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Chinese cabbage,Easy to grow. Sow direct in the garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 68째F. (Show 째C/cm),Space plants: 12 inches apart,Harvest in 8-10 weeks. Harvest whole head or you can take a few leaves at a time.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, coriander), lettuce, potatoes","Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Chives,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 86째F. (Show 째C/cm),Space plants: 2 inches apart,Harvest in 7-11 weeks.,"Compatible with (can grow beside): Carrots, Tomatoes, Parsley, Apples","Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Choko/Chayote,Easy to grow. Plant whole mature fruit when one produces a shoot at one end.. Best planted at soil temperatures between 59째F and 86째F. (Show 째C/cm),Space plants: 39 inches apart,Harvest in approximately 17 weeks. Best when fruit is light green and not more than 6cm long.,Compatible with (can grow beside): Cucumbers,"Full sun to partial shade, moist soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to stay moist. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun to partial shade, well-drained soil",full sun,Warm weather,well-drained soil
Climbing beans,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61째F and 86째F. (Show 째C/cm),Space plants: 4 - 8 inches apart,Harvest in 9-11 weeks.,"Compatible with (can grow beside): Sweetcorn, spinach, lettuce, summer savory, dill, carrots, brassicas, beets, radish, strawberry, cucumbers, zucchini, tagates minuta (wild marigold)","Full sun, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, especially during flowering and fruiting. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Collards,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46째F and 86째F. (Show 째C/cm)",Space plants: 16 - 20 inches apart,Harvest in 8-11 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during leafing. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Coriander,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: Thin to 18 inches,Harvest in 30-45 days.,"Compatible with (can grow beside): Dill, Chervil, Anise, Cabbages, Carrots","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Corn Salad,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 68째F. (Show 째C/cm),Space plants: 4 - 6 inches apart,Harvest in 5-8 weeks.,Compatible with (can grow beside): Onions,"Full sun to partial shade, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Cowpeas,Easy to grow. When soil begins to warm up. After frosts finish.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59째F and 95째F. (Show 째C/cm),Space plants: Rows 1 Metre apart,Harvest in 11-14 weeks.,,"Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during flowering and fruiting. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Cucumber,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61째F and 95째F. (Show 째C/cm),Space plants: 16 - 24 inches apart,Harvest in 8-10 weeks. Cut fruit off with scissors or sharp knife.,"Compatible with (can grow beside): Nasturtiums, Beans, Celery, Lettuce, Sweet Corn, Cabbages, Sunflowers, Coriander, Fennel, Dill, Sunflowers","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Daikon,Easy to grow. Direct in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 68째F. (Show 째C/cm),Space plants: 6 inches apart,Harvest in 8-10 weeks. Dig daikon carefully. They are rather brittle..,"Compatible with (can grow beside): Chervil, cress,lettuce, leeks, spinach, strawberries, tomatoes","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Dill,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 68째F. (Show 째C/cm),Space plants: 6 inches apart,Harvest in 8-12 weeks. Use leaves before flowering.,"Compatible with (can grow beside): Cabbage, Coriander, Fennel, tomatoes, broccoli","Full sun, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Dwarf beans,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61째F and 86째F. (Show 째C/cm),Space plants: 2 - 6 inches apart,Harvest in 7-10 weeks. Pick often to encourage more flower production.,"Compatible with (can grow beside): Sweetcorn, spinach, lettuce, summer savory, dill, carrots, brassicas, beets, radish, strawberry and cucumbers, tagates minuta (wild marigold)","Full sun, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, especially during flowering and fruiting. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Eggplant,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 75째F and 90째F. (Show 째C/cm)",Space plants: 24 - 30 inches apart,Harvest in 12-15 weeks. Cut fruit with scissors or sharp knife.,"Compatible with (can grow beside): Beans, capsicum, lettuce, amaranth, thyme","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Endive,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59째F and 77째F. (Show 째C/cm),Space plants: 8 - 12 inches apart,Harvest in 10-11 weeks.,"Compatible with (can grow beside): beans, brassicas, carrots, cucumbers, chervil, sage.","Full sun to partial shade, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Fennel,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: Thin to 12 inches,Harvest in 14-15 weeks.,Compatible with (can grow beside): Best grown away from vegetables,"Full sun, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
French tarragon,Plant cuttings or root division. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: 16 - 24 inches apart,Harvest in 30-40 days. Pick leaves when young for best flavour.,Compatible with (can grow beside): Aubergine (Eggplant) and Capsicum (Peppers),"Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun to partial sun,cool weather,well-drained soil
Garlic,Easy to grow. Plant cloves. Best planted at soil temperatures between 50째F and 95째F. (Show 째C/cm),Space plants: 4 - 5 inches apart,Harvest in 17-25 weeks.,"Compatible with (can grow beside): Beets, Carrots, Cucumbers, Dill, Tomatoes, Parsnips","Full sun, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, especially during bulb formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun to partial sun,cool weather,well-drained soil
Ginger,Plant pieces of fresh root showing signs of shoots. Best planted at soil temperatures between 20째C and 30째C. (Show 째F/in),Space plants: 15 cm apart,Harvest in approximately 25 weeks. Reduce water as plant dies back to encourage rhizome growth.,Compatible with (can grow beside): Grow in separate bed,"Partial shade to full shade, moist soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to stay moist. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun to partial shade, well-drained soil",partial shade to full sun,Warm weather,well-drained soil
Horseradish,Easy to grow. Plant root pieces. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: 20 inches apart,Harvest in 16-24 weeks. Some improvement in flavour if left till after frost..,Compatible with (can grow beside): Best kept separate,"Partial shade to full shade, moist soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to stay moist. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",partial shade to full sun,cool weather,well-drained soil
Jerusalem Artichokes,"Easy to grow. Plant tubers about 5cm (1.5"") deep.. Best planted at soil temperatures between 46째F and 59째F. (Show 째C/cm)",Space plants: 12 - 18 inches apart,Harvest in 15-20 weeks.,"Compatible with (can grow beside): Tomatoes, cucumbers","Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, especially during tuber formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun to partial sun,cool weather,well-drained soil
Kale,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46째F and 86째F. (Show 째C/cm)",Space plants: 20 - 39 inches apart,Harvest in 7-9 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, camomile)","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during leafing. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Kohlrabi,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46째F and 86째F. (Show 째C/cm),Space plants: 4 - 10 inches apart,Harvest in 7-10 weeks.,"Compatible with (can grow beside): Beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during bulb formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Leeks,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46째F and 86째F. (Show 째C/cm)",Space plants: 4 - 8 inches apart,Harvest in 15-18 weeks. Loosen with a fork rather than pull by hand..,Compatible with (can grow beside): Carrots,"Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during blanching. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Lemon Balm,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: 10 inches apart,Harvest in 8-10 weeks. Cut back tall stems to prevent flowering.,Compatible with (can grow beside): Good to attract bees,"Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, partial shade to full sun, well-drained soil",full sun to partial sun,cool weather,well-drained soil
Lettuce,"Easy to grow. Sow in garden, or start in seed trays and plant out in 4-6 weeks.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8째C and 27째C. (Show 째F/in)",Space plants: 20 - 30 cm apart,Harvest in 8-12 weeks.,"Compatible with (can grow beside): Carrots, Onions, Strawberries, Beets, Brassicas, Radish, Marigold, Borage, Chervil, Florence fennel, leeks.","Full sun to partial shade, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun to partial sun,cool weather,well-drained soil
Luffa,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68째F and 86째F. (Show 째C/cm)",Space plants: 18 - 30 inches apart,Harvest in 11-12 weeks. Use as a back scratcher.,"Compatible with (can grow beside): Peas, Beans, Onions, Sweetcorn","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Marrow,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68째F and 95째F. (Show 째C/cm)",Space plants: 35 - 47 inches apart,Harvest in 12-17 weeks.,"Compatible with (can grow beside): Peas, Beans, Onions, Sweetcorn","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Mint,Easy to grow. Grow in trays and plant out or start from cuttings. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70째F and 75째F. (Show 째C/cm),Space plants: 12 inches apart,Harvest in 8-12 weeks. Cut leaves from top with scissors.,"Compatible with (can grow beside): Cabbages, Tomatoes","Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to stay moist. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, partial shade to full sun, moist soil",full sun to partial sun,cool weather,well-drained soil
